Player,Nation,Pos_primary,Squad,Age_num,League,Season,90s,Gls,Ast,Gls_p90,Sh,SoT,SoT%,Sh_p90,SoT_p90,G/Sh,G/SoT,PK,PKatt,PrgP_proxy,Market_Value_M,Peak_Value_M,Value_Ratio,norm_gls_p90,norm_sot_pct,norm_ast,norm_prgp,Perf_Score,Value_Score,Value_Score_norm,Age_bonus,Final_Score,Defense_Hardness,Scoring_Context_Bonus,norm_context
Mason Greenwood,ENG,MF,Marseille,24,Ligue 1,2025-26,19.3,14,4,0.7253886010362695,80,32,40.0,4.15,1.66,0.11,0.28,5,7,4.0,50,50,1.0,0.5634389564402322,0.35149384885764495,0.5714285714285714,0.5714285714285714,0.509,1.018,7.9,1.1,8.7,0.5856004738719067,0.12743637255243564,0.4035485130827129
Angel Gomes,ENG,MF,Marseille,25,Ligue 1,2025-26,9.9,3,0,0.303030303030303,11,5,45.5,1.11,0.51,0.27,0.6,0,0,0.0,18,18,1.0,0.21196893558702606,0.4481546572934973,0.0,0.0,0.164,0.911,6.9,1.1,7.6,0.5856004738719067,0.05323640671562787,0.16858195459948827
Charlie Cresswell,ENG,DF,Toulouse,23,Ligue 1,2025-26,23.0,3,2,0.1304347826086956,29,8,27.6,1.26,0.35,0.1,0.38,0,0,0.0,15,15,1.0,0.06834170854271357,0.1335676625659051,0.2857142857142857,0.0,0.129,0.86,6.3,1.2,7.6,0.5607359704330269,0.0560735970433027,0.17756639063712523
Senny Mayulu,FRA,MF,Paris Saint-Germain,19,Ligue 1,2025-26,12.6,3,4,0.2380952380952381,23,7,30.4,1.82,0.55,0.13,0.43,0,0,4.0,40,40,1.0,0.15793251974156503,0.18277680140597535,0.5714285714285714,0.5714285714285714,0.336,0.84,6.2,1.2,7.4,1.0,0.07142857142857142,0.2261904761904762
Lee Kang-in,KOR,MF,Paris Saint-Germain,25,Ligue 1,2025-26,11.2,2,2,0.1785714285714285,30,11,36.7,2.67,0.98,0.07,0.18,0,0,2.0,25,25,1.0,0.1083991385498923,0.2934973637961336,0.2857142857142857,0.2857142857142857,0.22,0.88,6.5,1.1,7.2,1.0,0.05357142857142855,0.16964285714285707
Goncalo Ramos,POR,FW,Paris Saint-Germain,24,Ligue 1,2025-26,11.2,5,1,0.4464285714285714,45,21,46.7,4.02,1.87,0.09,0.19,1,1,1.0,35,50,0.7,0.33129935391241927,0.46924428822495606,0.14285714285714285,0.14285714285714285,0.292,0.834,6.1,1.1,6.7,1.0,0.13392857142857142,0.42410714285714285
Malick Fofana,BEL,MF,Lyon,20,Ligue 1,2025-26,8.0,2,1,0.25,18,9,50.0,2.25,1.12,0.11,0.22,0,0,0.0,30,30,1.0,0.16783919597989955,0.5272407732864675,0.14285714285714285,0.0,0.197,0.657,4.4,1.2,5.3,0.7249947327339334,0.05437460495504501,0.1721862490243092
Ousmane Dembele,FRA,FW,Paris Saint-Germain,28,Ligue 1,2025-26,7.6,8,4,1.0526315789473684,27,12,44.4,3.53,1.57,0.22,0.5,2,3,4.0,100,120,0.83,0.8357577360486643,0.42882249560632685,0.5714285714285714,0.5714285714285714,0.676,0.676,4.5,1.0,4.5,1.0,0.3157894736842105,1.0
Igor Paixao,BRA,MF,Marseille,25,Ligue 1,2025-26,13.7,4,2,0.291970802919708,33,13,39.4,2.41,0.95,0.12,0.31,0,0,0.0,35,35,1.0,0.20276565308293296,0.34094903339191557,0.2857142857142857,0.0,0.205,0.586,3.7,1.1,4.1,0.5856004738719067,0.05129347216396263,0.162429328519215
Hakon Haraldsson,ISL,MF,Lille,22,Ligue 1,2025-26,17.1,5,1,0.2923976608187134,32,7,21.9,1.88,0.41,0.16,0.71,0,0,0.0,22,22,1.0,0.2031208674953716,0.03339191564147625,0.14285714285714285,0.0,0.118,0.536,3.2,1.2,3.8,0.5942281844560959,0.05212527933825401,0.1650633845711377
Bradley Barcola,FRA,FW,Paris Saint-Germain,23,Ligue 1,2025-26,12.7,8,1,0.6299212598425197,48,23,47.9,3.78,1.81,0.17,0.35,0,0,0.0,70,70,1.0,0.4839947770347802,0.49033391915641467,0.14285714285714285,0.0,0.337,0.481,2.6,1.2,3.1,1.0,0.1889763779527559,0.5984251968503937
Nuno Mendes,POR,DF,Paris Saint-Germain,23,Ligue 1,2025-26,11.3,3,3,0.2654867256637168,24,10,41.7,2.12,0.88,0.13,0.3,0,0,3.0,75,75,1.0,0.18072664205985683,0.38137082601054484,0.42857142857142855,0.42857142857142855,0.332,0.443,2.2,1.2,2.6,1.0,0.1,0.3166666666666667
Warren Zaire-Emery,FRA,DF,Paris Saint-Germain,19,Ligue 1,2025-26,20.7,1,4,0.0483091787439613,15,5,33.3,0.73,0.24,0.07,0.2,0,0,0.0,50,60,0.83,0.0,0.23374340949033384,0.5714285714285714,0.0,0.206,0.412,1.9,1.2,2.3,1.0,0.1,0.3166666666666667
Vitinha,POR,MF,Paris Saint-Germain,26,Ligue 1,2025-26,18.6,1,7,0.053763440860215,28,10,35.7,1.5,0.54,0.04,0.1,0,0,7.0,110,110,1.0,0.004538823147998056,0.2759226713532513,1.0,1.0,0.457,0.415,2.0,1.0,2.0,1.0,0.0161290322580645,0.05107526881720425
Desire Doue,FRA,FW,Paris Saint-Germain,20,Ligue 1,2025-26,8.3,4,2,0.4819277108433734,31,12,38.7,3.73,1.44,0.13,0.33,0,0,0.0,90,90,1.0,0.3608403463098625,0.3286467486818981,0.2857142857142857,0.0,0.285,0.317,1.0,1.2,1.2,1.0,0.14457831325301201,0.45783132530120474
Khvicha Kvaratskhelia,GEO,FW,Paris Saint-Germain,25,Ligue 1,2025-26,10.6,4,3,0.3773584905660377,38,16,42.1,3.58,1.51,0.11,0.25,0,0,0.0,90,90,1.0,0.27382193988811987,0.3884007029876977,0.42857142857142855,0.0,0.289,0.321,1.0,1.1,1.1,1.0,0.11320754716981131,0.3584905660377358
Joao Neves,POR,MF,Paris Saint-Germain,21,Ligue 1,2025-26,11.1,5,1,0.4504504504504504,21,6,28.6,1.89,0.54,0.24,0.83,0,0,1.0,110,110,1.0,0.33464620399293765,0.15114235500878737,0.14285714285714285,0.14285714285714285,0.236,0.215,0.0,1.2,0.0,1.0,0.13513513513513511,0.4279279279279279
